tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
Table 6,20074,300,5850,"Abilene, Texas, USA","Atlanta, Georgia, USA",889,14.23913044,204.4732824,AA,93.89312977,199.457561,AA,93.89312977,199.457561,1
Table 6,20074,300,7220,"Abilene, Texas, USA","Baltimore, Maryland, USA",1370,12.06521739,247.3094595,AA,96.3963964,249.6506542,AA,96.3963964,249.6506542,2
Table 6,20074,300,18500,"Abilene, Texas, USA","Chicago, Illinois, USA",924,14.23913044,189.2877863,AA,90.83969466,187.8677311,AA,90.83969466,187.8677311,3
Table 6,20074,300,23210,"Abilene, Texas, USA","Dallas/Ft.Worth, Texas, USA",158,26.63043478,102.0023674,AA,100,102.0023674,AA,100,102.0023674,4
Table 6,20074,300,24090,"Abilene, Texas, USA","Denver, Colorado, USA",584,11.19565217,203.1343689,AA,97.08737864,203.0286,AA,97.08737864,203.0286,5
Table 6,20074,300,48880,"Abilene, Texas, USA","Las Vegas, Nevada, USA",920,18.47826087,216.9282353,AA,87.05882353,211.6732432,AA,87.05882353,211.6732432,6
Table 6,20074,300,63760,"Abilene, Texas, USA","New York, New York, USA",1542,13.80434783,234.5291339,AA,60.62992126,233.2492208,CO,29.92125984,231.8444737,7
Table 6,20074,300,66600,"Abilene, Texas, USA","Orlando, Florida, USA",1128,11.63043478,228.8301869,AA,88.78504673,225.9194737,AA,88.78504673,225.9194737,8
Table 6,20074,300,96460,"Abilene, Texas, USA","Washington, D.C., USA",1345,10,285.5084783,AA,93.47826087,279.3641861,AA,93.47826087,279.3641861,9
Table 6,20074,1270,1680,"Akron/Canton, Ohio, USA","Albuquerque, New Mexico, USA",1427,17.2826087,195.5914465,F9,61.00628931,185.7610309,F9,61.00628931,185.7610309,10
Table 6,20074,1270,5850,"Akron/Canton, Ohio, USA","Atlanta, Georgia, USA",528,401.1956522,134.2424194,FL,63.6141967,123.2266397,FL,63.6141967,123.2266397,11
Table 6,20074,1270,11030,"Akron/Canton, Ohio, USA","Birmingham, Alabama, USA",585,21.08695652,148.1878351,DL,59.79381443,140.9993103,NW,12.37113402,112.5570833,12
Table 6,20074,1270,12200,"Akron/Canton, Ohio, USA","Boston, Massachusetts, USA",549,185.4347826,104.9153283,FL,93.72801876,99.23892433,FL,93.72801876,99.23892433,13
Table 6,20074,1270,17900,"Akron/Canton, Ohio, USA","Charleston, South Carolina, USA",558,44.67391304,152.9596594,DL,34.30656934,153.7649645,FL,32.36009732,124.7806015,14
Table 6,20074,1270,17960,"Akron/Canton, Ohio, USA","Charlotte, North Carolina, USA",394,104.0217391,165.3677221,US,62.06896552,203.9076431,FL,20.89864159,85.10175,15
Table 6,20074,1270,18500,"Akron/Canton, Ohio, USA","Chicago, Illinois, USA",344,76.19565217,167.7421113,UA,93.43794579,164.9942748,UA,93.43794579,164.9942748,16
Table 6,20074,1270,23210,"Akron/Canton, Ohio, USA","Dallas/Ft.Worth, Texas, USA",1023,55.54347826,164.9044031,DL,46.77103718,171.7890795,NW,10.95890411,139.6748214,17
Table 6,20074,1270,23700,"Akron/Canton, Ohio, USA","Daytona Beach, Florida, USA",809,13.58695652,140.72008,DL,51.2,161.70375,FL,48,117.61,18
Table 6,20074,1270,24090,"Akron/Canton, Ohio, USA","Denver, Colorado, USA",1224,205,177.1858059,F9,91.5164369,175.6777926,FL,1.484623542,152.2792857,19
Table 6,20074,1270,29420,"Akron/Canton, Ohio, USA","Ft. Lauderdale, Florida, USA",1026,71.19565217,158.5020305,FL,43.51145038,143.8829474,FL,43.51145038,143.8829474,20
Table 6,20074,1270,29540,"Akron/Canton, Ohio, USA","Ft. Myers, Florida, USA",991,138.4782609,144.4393799,FL,85.32182104,141.094057,DL,8.791208791,136.8108036,21
Table 6,20074,1270,33460,"Akron/Canton, Ohio, USA","Greensboro/High Point, Nc, USA",342,14.67391304,151.1274815,US,60.74074074,152.9460976,DL,35.55555556,151.8325,22
Table 6,20074,1270,33530,"Akron/Canton, Ohio, USA","Greenville/Spartanburg, Sc, USA",417,13.47826087,194.9658871,DL,53.22580645,185.7363636,DL,53.22580645,185.7363636,23
Table 6,20074,1270,34290,"Akron/Canton, Ohio, USA","Gulfport/Biloxi, Mississippi, USA",841,14.23913044,153.510229,FL,51.90839695,114.7226471,FL,51.90839695,114.7226471,24
Table 6,20074,1270,37320,"Akron/Canton, Ohio, USA","Houston, Texas, USA",1100,47.60869565,157.5449543,DL,47.48858448,162.0479327,NW,23.51598174,135.2640777,25
Table 6,20074,1270,38490,"Akron/Canton, Ohio, USA","Indianapolis, Indiana, USA",269,10.54347826,136.5374227,NW,63.91752577,120.436129,NW,63.91752577,120.436129,26
Table 6,20074,1270,40140,"Akron/Canton, Ohio, USA","Jacksonville, Florida, USA",719,41.08695652,157.160873,FL,38.0952381,136.7999306,FL,38.0952381,136.7999306,27
Table 6,20074,1270,42650,"Akron/Canton, Ohio, USA","Kansas City, Missouri, USA",711,20.2173913,179.964785,DL,47.84946237,185.2149438,FL,19.35483871,133.9694444,28
Table 6,20074,1270,48880,"Akron/Canton, Ohio, USA","Las Vegas, Nevada, USA",1846,201.1956522,137.70047,FL,52.35008104,129.7276058,FL,52.35008104,129.7276058,29
Table 6,20074,1270,51410,"Akron/Canton, Ohio, USA","Los Angeles, California, USA",2073,40.97826087,236.6396287,DL,28.91246684,236.1590826,FL,12.20159151,188.5563044,30
Table 6,20074,1270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,35.65217391,165.6668598,DL,32.31707317,159.1716981,DL,32.31707317,159.1716981,31
Table 6,20074,1270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,36.30434783,171.9476347,FL,42.81437126,148.1725175,FL,42.81437126,148.1725175,32
Table 6,20074,1270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,14.02173913,330.7107752,NW,39.53488372,380.2058824,DL,10.07751938,294.07,33
Table 6,20074,1270,61830,"Akron/Canton, Ohio, USA","Myrtle Beach, South Carolina, USA",518,19.7826087,179.6628022,US,71.42857143,176.1202308,US,71.42857143,176.1202308,34
Table 6,20074,1270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,11.08695652,173.6273529,DL,53.92156863,176.1865455,NW,22.54901961,134.4330435,35
Table 6,20074,1270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,22.39130435,191.9094175,DL,52.42718447,196.6298148,FL,29.61165049,153.6619672,36
Table 6,20074,1270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,279.2391304,116.3608914,FL,94.39470611,111.5042392,FL,94.39470611,111.5042392,37
Table 6,20074,1270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,238.4782609,131.5377119,FL,84.09298086,125.9337507,FL,84.09298086,125.9337507,38
Table 6,20074,1270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,29.89130435,169.3373455,FL,54.90909091,152.9556291,FL,54.90909091,152.9556291,39
Table 6,20074,1270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,37.39130435,195.6868895,US,52.61627907,235.3862983,NW,37.20930233,134.9964063,40
Table 6,20074,1270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,70.86956522,175.9565951,F9,39.41717791,162.8515175,F9,39.41717791,162.8515175,41
Table 6,20074,1270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,21.30434783,232.1401531,F9,35.71428571,195.938,NW,11.2244898,195.76,42
Table 6,20074,1270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,17.93478261,155.6953939,US,44.24242424,162.1916438,DL,23.03030303,134.8184211,43
Table 6,20074,1270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,18.58695652,193.3991813,F9,71.34502924,189.5990984,F9,71.34502924,189.5990984,44
Table 6,20074,1270,78460,"Akron/Canton, Ohio, USA","St. Louis, Missouri, USA",497,11.41304348,126.3141905,DL,50.47619048,131.7681132,FL,14.28571429,99.984,45
Table 6,20074,1270,79070,"Akron/Canton, Ohio, USA","Salt Lake City, Utah, USA",1591,25.43478261,218.7635897,F9,73.07692308,202.0583041,F9,73.07692308,202.0583041,46
Table 6,20074,1270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,14.34782609,220.6574242,DL,51.51515152,241.5492647,F9,15.90909091,193.2857143,47
Table 6,20074,1270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,27.93478261,223.8401167,DL,30.73929961,221.6778481,F9,29.57198444,214.4444737,48
Table 6,20074,1270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,25.76086957,233.235865,DL,30.37974684,207.4352778,DL,30.37974684,207.4352778,49
Table 6,20074,1270,80050,"Akron/Canton, Ohio, USA","San Jose, California, USA",2169,13.15217391,225.2093388,F9,67.76859504,197.992439,DL,10.74380165,188.8630769,50
Table 6,20074,1270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,18.04347826,220.0629518,F9,59.03614458,203.3494898,F9,59.03614458,203.3494898,51
Table 6,20074,1270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,32.39130435,147.1422483,FL,61.40939597,121.8900546,FL,61.40939597,121.8900546,52
Table 6,20074,1270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,39.67391304,136.8357534,DL,52.87671233,141.7635751,FL,32.05479452,121.2469231,53
Table 6,20074,1270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,24.89130435,209.1786463,DL,38.4279476,201.7693182,F9,32.7510917,196.8296,54
Table 6,20074,1270,87620,"Akron/Canton, Ohio, USA","Tallahassee, Florida, USA",743,10.10869565,230.8136559,DL,60.21505376,251.1467857,US,35.48387097,200.8781818,55
Table 6,20074,1270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,219.4565217,129.9141209,FL,83.55621595,122.446064,FL,83.55621595,122.446064,56
Table 6,20074,1270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,11.95652174,207.3557273,F9,66.36363636,158.9052055,F9,66.36363636,158.9052055,57
Table 6,20074,1270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,36.30434783,168.3347904,DL,35.62874252,185.8180672,FL,35.02994012,136.9502564,58
Table 6,20074,1270,97500,"Akron/Canton, Ohio, USA","Wichita, Kansas, USA",885,13.47826087,171.9595968,FL,56.4516129,146.9325714,FL,56.4516129,146.9325714,59
Table 6,20074,1270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,11.52173913,167.8359434,US,87.73584906,171.6143011,DL,9.433962264,146.876,60
Table 6,20074,1540,63760,"Albany, Georgia, USA","New York, New York, USA",859,16.08695652,209.7796622,DL,97.97297297,209.9941379,DL,97.97297297,209.9941379,61
Table 6,20074,1540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,13.26086957,268.0479508,DL,96.72131148,264.4177119,DL,96.72131148,264.4177119,62
Table 6,20074,1580,1680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,48.26086957,235.315946,WN,48.42342342,231.0685581,WN,48.42342342,231.0685581,63
Table 6,20074,1580,5420,"Albany, New York, USA","Asheville, North Carolina, USA",688,13.69565217,206.0381746,US,53.96825397,249.5298529,NW,17.46031746,121.6845455,64
Table 6,20074,1580,5850,"Albany, New York, USA","Atlanta, Georgia, USA",852,165.2173913,287.9065197,DL,64.80263158,321.5365076,US,24.0131579,213.0363562,65
Table 6,20074,1580,6100,"Albany, New York, USA","Austin, Texas, USA",1577,57.82608696,233.4786278,WN,40.41353384,225.3264186,CO,10.15037594,217.6685185,66
Table 6,20074,1580,7220,"Albany, New York, USA","Baltimore, Maryland, USA",288,623.0434783,97.36990754,WN,96.09211445,96.66724401,WN,96.09211445,96.66724401,67
Table 6,20074,1580,11030,"Albany, New York, USA","Birmingham, Alabama, USA",946,34.23913044,203.9106984,WN,47.3015873,177.0365101,WN,47.3015873,177.0365101,68
Table 6,20074,1580,11800,"Albany, New York, USA","Boise, Idaho, USA",2121,14.56521739,269.4407463,UA,45.52238806,268.4236066,WN,21.64179105,256.8034483,69
Table 6,20074,1580,14070,"Albany, New York, USA","Glendale, California, USA",2457,14.67391304,254.2621482,WN,87.40740741,241.2647458,WN,87.40740741,241.2647458,70
Table 6,20074,1580,17470,"Albany, New York, USA","Cedar Rapids/Iowa City, Iowa, USA",917,10,212.2715217,NW,55.43478261,216.1168628,UA,29.34782609,210.077037,71
Table 6,20074,1580,17900,"Albany, New York, USA","Charleston, South Carolina, USA",759,35.32608696,171.2797539,US,62.15384615,181.4049505,DL,19.38461539,141.8180952,72
Table 6,20074,1580,17960,"Albany, New York, USA","Charlotte, North Carolina, USA",646,127.0652174,219.47858,US,78.87082977,235.3502061,NW,9.153122327,105.8960748,73
Table 6,20074,1580,18500,"Albany, New York, USA","Chicago, Illinois, USA",723,372.173913,177.6164895,UA,51.43107477,180.4164338,WN,32.21378505,163.2527289,74
Table 6,20074,1580,19270,"Albany, New York, USA","Cincinnati, Ohio, USA",623,47.7173913,287.3578132,DL,75.17084283,303.8010606,US,16.6287016,203.9923288,75
Table 6,20074,1580,19770,"Albany, New York, USA","Cleveland, Ohio, USA",424,21.08695652,179.4159278,WN,43.81443299,170.7244706,US,37.62886598,168.7627397,76
Table 6,20074,1580,20410,"Albany, New York, USA","Colorado Springs, Colorado, USA",1634,14.23913044,231.5559542,UA,58.01526718,240.0580263,DL,20.61068702,221.3488889,77
Table 6,20074,1580,20470,"Albany, New York, USA","Columbia, South Carolina, USA",725,23.36956522,181.788093,US,52.55813954,182.5680531,US,52.55813954,182.5680531,78
Table 6,20074,1580,20570,"Albany, New York, USA","Columbus, Ohio, USA",508,48.47826087,176.6645516,WN,28.25112108,162.263254,NW,17.26457399,146.0106494,79
Table 6,20074,1580,23210,"Albany, New York, USA","Dallas/Ft.Worth, Texas, USA",1435,128.2608696,226.1126017,US,24.74576271,239.9217466,WN,13.55932203,180.277,80
Table 6,20074,1580,24090,"Albany, New York, USA","Denver, Colorado, USA",1609,148.1521739,224.6994938,UA,39.03154806,240.8129511,NW,14.38004402,192.2684694,81
Table 6,20074,1580,24260,"Albany, New York, USA","Detroit, Michigan, USA",488,117.9347826,196.210977,NW,83.59447005,195.3629438,WN,4.792626728,164.0623077,82
Table 6,20074,1580,26930,"Albany, New York, USA","El Paso, Texas, USA",1932,12.82608696,232.2151695,WN,49.15254237,198.3875862,WN,49.15254237,198.3875862,83
Table 6,20074,1580,29420,"Albany, New York, USA","Ft. Lauderdale, Florida, USA",1204,168.3695652,173.623725,WN,56.29438347,162.3361009,WN,56.29438347,162.3361009,84
Table 6,20074,1580,29540,"Albany, New York, USA","Ft. Myers, Florida, USA",1204,103.0434783,176.8765401,WN,46.09704641,168.8027231,WN,46.09704641,168.8027231,85
Table 6,20074,1580,33460,"Albany, New York, USA","Greensboro/High Point, Nc, USA",564,21.63043478,178.9075879,US,73.86934673,187.0267347,US,73.86934673,187.0267347,86
Table 6,20074,1580,33530,"Albany, New York, USA","Greenville/Spartanburg, Sc, USA",706,32.7173913,194.633289,US,61.46179402,196.7927568,DL,14.28571429,130.0630233,87
Table 6,20074,1580,37320,"Albany, New York, USA","Houston, Texas, USA",1495,102.5,227.5378367,CO,40.08483563,232.524127,WN,26.93531283,200.4753543,88
Table 6,20074,1580,38490,"Albany, New York, USA","Indianapolis, Indiana, USA",682,60.76086957,157.6371199,NW,29.87477639,130.1782635,NW,29.87477639,130.1782635,89
Table 6,20074,1580,40080,"Albany, New York, USA","Jackson/Vicksburg, Mississippi, USA",1144,10.86956522,191.1964,WN,37,203.9581081,DL,27,163.6022222,90
Table 6,20074,1580,40140,"Albany, New York, USA","Jacksonville, Florida, USA",951,82.5,172.2030567,US,48.8801054,176.1845553,WN,24.37417655,167.6774054,91
Table 6,20074,1580,42650,"Albany, New York, USA","Kansas City, Missouri, USA",1115,50.10869565,208.3070499,WN,35.35791757,200.5033129,NW,14.96746204,187.063913,92
Table 6,20074,1580,45540,"Albany, New York, USA","Knoxville, Tennessee, USA",725,15.86956522,218.9184932,US,50,224.0583562,DL,12.32876712,200.2838889,93
Table 6,20074,1580,48880,"Albany, New York, USA","Las Vegas, Nevada, USA",2237,240.7608696,203.6175305,WN,70.65462754,192.2855655,WN,70.65462754,192.2855655,94
Table 6,20074,1580,49850,"Albany, New York, USA","Lexington/Frankfort, Kentucky, USA",655,10.43478261,234.7103125,DL,30.20833333,278.9768966,NW,20.83333333,147.28,95
Table 6,20074,1580,50670,"Albany, New York, USA","Little Rock, Arkansas, USA",1135,15,179.7277536,US,26.8115942,155.3378378,US,26.8115942,155.3378378,96
Table 6,20074,1580,51410,"Albany, New York, USA","Los Angeles, California, USA",2467,156.5217391,245.11525,UA,29.79166667,255.3531702,WN,16.04166667,216.4296537,97
Table 6,20074,1580,51510,"Albany, New York, USA","Louisville, Kentucky, USA",703,45.65217391,145.4888095,WN,46.19047619,149.7523196,NW,22.38095238,111.38,98
Table 6,20074,1580,52470,"Albany, New York, USA","Madison, Wisconsin, USA",787,13.80434783,245.4137795,NW,57.48031496,241.4,NW,57.48031496,241.4,99
Table 6,20074,1580,57180,"Albany, New York, USA","Memphis, Tennessee, USA",1018,20.32608696,289.6918717,NW,35.82887701,299.1676119,UA,10.69518717,267.016,100
Table 6,20074,1580,57560,"Albany, New York, USA","Miami, Florida, USA",1225,41.95652174,225.0406736,US,54.40414508,225.1280952,UA,10.10362694,208.4917949,101
Table 6,20074,1580,57850,"Albany, New York, USA","Milwaukee, Wisconsin, USA",715,23.91304348,247.7541818,NW,46.81818182,276.4733981,US,10.90909091,172.6433333,102
Table 6,20074,1580,57970,"Albany, New York, USA","Minneapolis/St.Paul, Minnesota, USA",979,60.2173913,278.8921841,NW,40.07220217,311.4677928,UA,31.04693141,258.4023256,103
Table 6,20074,1580,61830,"Albany, New York, USA","Myrtle Beach, South Carolina, USA",684,37.17391304,154.3318714,US,75.73099415,148.3511969,DL,16.37426901,134.6092857,104
Table 6,20074,1580,62860,"Albany, New York, USA","Nashville, Tennessee, USA",825,84.23913044,175.7237161,WN,50.83870968,175.9035025,WN,50.83870968,175.9035025,105
Table 6,20074,1580,63580,"Albany, New York, USA","New Orleans, Louisiana, USA",1266,44.67391304,220.893309,US,33.57664234,226.1823913,UA,11.67883212,207.2,106
Table 6,20074,1580,63760,"Albany, New York, USA","New York, New York, USA",145,17.2826087,168.8645283,DL,94.33962264,171.5519333,US,5.031446541,128.50625,107
Table 6,20074,1580,64500,"Albany, New York, USA","Norfolk, Virginia, USA",423,56.84782609,152.6800574,WN,48.94837476,147.3171094,WN,48.94837476,147.3171094,108
Table 6,20074,1580,65420,"Albany, New York, USA","Oakland, California, USA",2548,48.58695652,237.4038031,WN,75.39149888,219.6419585,WN,75.39149888,219.6419585,109
Table 6,20074,1580,65840,"Albany, New York, USA","Oklahoma City, Oklahoma, USA",1371,30.2173913,225.2798201,WN,33.45323741,204.9062366,NW,11.51079137,175.4690625,110
Table 6,20074,1580,66060,"Albany, New York, USA","Omaha, Nebraska, USA",1138,20.97826087,209.7981865,UA,31.0880829,235.7116667,NW,25.90673575,176.3628,111
Table 6,20074,1580,66180,"Albany, New York, USA","Ontario, California, USA",2423,23.80434783,212.2758904,WN,65.75342466,202.0133333,CO,8.219178082,192.7077778,112
Table 6,20074,1580,66600,"Albany, New York, USA","Orlando, Florida, USA",1073,669.3478261,137.8252939,WN,89.4121468,134.2461769,WN,89.4121468,134.2461769,113
Table 6,20074,1580,69380,"Albany, New York, USA","Pensacola, Florida, USA",1124,10.2173913,283.5152128,DL,43.61702128,296.9517073,US,43.61702128,278.6636585,114
Table 6,20074,1580,69880,"Albany, New York, USA","Philadelphia, Pennsylvania, USA",212,46.30434783,164.5919718,US,97.88732394,162.8357554,US,97.88732394,162.8357554,115
Table 6,20074,1580,69980,"Albany, New York, USA","Phoenix, Arizona, USA",2159,133.6956522,215.9719431,WN,30.08130081,204.5104595,DL,11.13821138,188.0521168,116
Table 6,20074,1580,70470,"Albany, New York, USA","Pittsburgh, Pennsylvania, USA",367,90.43478261,153.7365625,US,53.96634615,182.2285523,WN,34.85576923,103.0084138,117
Table 6,20074,1580,71790,"Albany, New York, USA","Portland, Oregon, USA",2395,50.43478261,246.3787285,UA,30.60344828,284.0588028,DL,22.62931035,230.9362857,118
Table 6,20074,1580,74830,"Albany, New York, USA","Raleigh/Durham, North Carolina, USA",544,144.1304348,150.5532428,WN,57.16440422,146.7961346,WN,57.16440422,146.7961346,119
Table 6,20074,1580,75500,"Albany, New York, USA","Reno, Nevada, USA",2379,17.82608696,266.3557927,WN,60.97560976,252.102,WN,60.97560976,252.102,120
Table 6,20074,1580,75820,"Albany, New York, USA","Richmond, Virginia, USA",407,25.86956522,207.7836975,US,59.66386555,227.2350704,DL,28.1512605,129.9286567,121
Table 6,20074,1580,76430,"Albany, New York, USA","Roanoke, Virginia, USA",497,13.80434783,189.8668504,US,55.90551181,211.1949296,NW,24.40944882,125.3241936,122
Table 6,20074,1580,77850,"Albany, New York, USA","Sacramento, California, USA",2491,38.47826087,234.5310735,WN,52.25988701,210.851027,WN,52.25988701,210.851027,123
Table 6,20074,1580,78460,"Albany, New York, USA","St. Louis, Missouri, USA",910,58.80434783,208.8442884,WN,45.10166359,194.7719262,WN,45.10166359,194.7719262,124
Table 6,20074,1580,79070,"Albany, New York, USA","Salt Lake City, Utah, USA",1960,44.56521739,257.5136342,DL,33.17073171,296.3318382,WN,31.2195122,200.4398438,125
Table 6,20074,1580,79360,"Albany, New York, USA","San Antonio, Texas, USA",1643,47.39130435,227.6140826,WN,34.40366973,217.8372,DL,21.78899083,202.2017895,126
Table 6,20074,1580,79520,"Albany, New York, USA","San Diego, California, USA",2445,91.30434783,237.1389286,WN,32.97619048,230.9177256,DL,18.45238095,187.7249032,127
Table 6,20074,1580,79830,"Albany, New York, USA","San Francisco, California, USA",2559,100.326087,272.4473673,UA,32.28602384,323.6408389,DL,11.59263272,183.9459813,128
Table 6,20074,1580,80050,"Albany, New York, USA","San Jose, California, USA",2543,45.86956522,253.4711137,UA,40.99526066,281.6052023,WN,40.75829384,215.7679651,129
Table 6,20074,1580,80650,"Albany, New York, USA","Santa Ana, California, USA",2449,30.86956522,270.9339789,UA,48.23943662,258.9431387,WN,18.30985916,248.0294231,130
Table 6,20074,1580,82080,"Albany, New York, USA","Sarasota/Bradenton, Florida, USA",1167,19.67391304,214.6890055,US,58.56353591,194.0213208,US,58.56353591,194.0213208,131
Table 6,20074,1580,82340,"Albany, New York, USA","Savannah, Georgia, USA",837,26.08695652,250.9120417,US,65.83333333,257.6346835,DL,21.25,246.215098,132
Table 6,20074,1580,82630,"Albany, New York, USA","Seattle, Washington, USA",2355,82.82608696,259.8544095,UA,30.31496063,272.908052,WN,18.50393701,234.4231206,133
Table 6,20074,1580,85290,"Albany, New York, USA","Spokane, Washington, USA",2133,10.10869565,247.9721505,UA,46.23655914,228.2288372,UA,46.23655914,228.2288372,134
Table 6,20074,1580,87870,"Albany, New York, USA","Tampa, Florida, USA",1130,287.2826087,150.7109989,WN,74.2338252,142.679735,WN,74.2338252,142.679735,135
Table 6,20074,1580,91940,"Albany, New York, USA","Tucson, Arizona, USA",2149,32.39130435,226.4948993,WN,53.69127517,202.304375,WN,53.69127517,202.304375,136
Table 6,20074,1580,92080,"Albany, New York, USA","Tulsa, Oklahoma, USA",1260,16.08695652,193.9405405,NW,27.7027027,168.1729268,NW,27.7027027,168.1729268,137
Table 6,20074,1580,96460,"Albany, New York, USA","Washington, D.C., USA",325,135.4347826,249.0950562,US,78.89245586,251.263469,UA,18.69983949,237.9005579,138
Table 6,20074,1580,97160,"Albany, New York, USA","West Palm Beach, Florida, USA",1163,106.9565217,186.6986179,US,38.82113821,196.4157592,WN,38.7195122,175.9796588,139
Table 6,20074,1580,97780,"Albany, New York, USA","Wilmington, North Carolina, USA",625,26.84782609,164.6337247,US,93.11740891,164.9646522,DL,5.263157895,154.8907692,140
Table 6,20074,1680,2780,"Albuquerque, New Mexico, USA","Amarillo, Texas, USA",277,40.54347826,90.65171582,WN,100,90.65171582,WN,100,90.65171582,141
Table 6,20074,1680,5850,"Albuquerque, New Mexico, USA","Atlanta, Georgia, USA",1269,174.0217391,274.0425109,DL,59.15053092,298.9600317,F9,11.93004372,214.2574346,142
Table 6,20074,1680,6100,"Albuquerque, New Mexico, USA","Austin, Texas, USA",619,134.5652174,180.7724637,WN,73.66720517,182.5253947,AA,17.20516963,168.0104695,143
Table 6,20074,1680,7220,"Albuquerque, New Mexico, USA","Baltimore, Maryland, USA",1670,262.6086957,223.1779056,WN,56.58112583,232.9457791,UA,12.37582782,228.9065217,144
Table 6,20074,1680,8860,"Albuquerque, New Mexico, USA","Baton Rouge, Louisiana, USA",951,15.65217391,210.4201389,CO,49.30555556,203.751831,CO,49.30555556,203.751831,145
Table 6,20074,1680,10830,"Albuquerque, New Mexico, USA","Billings, Montana, USA",750,22.17391304,203.8351961,UA,46.56862745,189.1218947,UA,46.56862745,189.1218947,146
Table 6,20074,1680,11030,"Albuquerque, New Mexico, USA","Birmingham, Alabama, USA",1138,39.13043478,202.1546111,WN,40.55555556,205.6966438,DL,10.55555556,175.3763158,147
Table 6,20074,1680,11800,"Albuquerque, New Mexico, USA","Boise, Idaho, USA",781,45.86956522,198.1782701,WN,33.41232228,196.6426241,UA,22.98578199,196.2750516,148
Table 6,20074,1680,12200,"Albuquerque, New Mexico, USA","Boston, Massachusetts, USA",1974,126.7391304,306.1305918,AA,40.48027444,305.8689619,UA,32.0754717,286.2241979,149
Table 6,20074,1680,13730,"Albuquerque, New Mexico, USA","Buffalo, New York, USA",1588,34.45652174,218.9139748,WN,40.69400631,213.9591473,WN,40.69400631,213.9591473,150
Table 6,20074,1680,14070,"Albuquerque, New Mexico, USA","Glendale, California, USA",672,115,181.4520227,WN,76.84310019,183.5780812,US,19.75425331,173.1835885,151
Table 6,20074,1680,14210,"Albuquerque, New Mexico, USA","Burlington, Vermont, USA",1881,12.17391304,348.4005357,UA,53.57142857,348.2061667,CO,21.42857143,296.7354167,152
Table 6,20074,1680,17470,"Albuquerque, New Mexico, USA","Cedar Rapids/Iowa City, Iowa, USA",934,15,251.8513768,AA,55.79710145,253.3816883,NW,16.66666667,245.3330435,153
Table 6,20074,1680,17900,"Albuquerque, New Mexico, USA","Charleston, South Carolina, USA",1528,13.04347826,272.2959167,DL,47.5,264.1210526,DL,47.5,264.1210526,154
Table 6,20074,1680,17960,"Albuquerque, New Mexico, USA","Charlotte, North Carolina, USA",1449,50.32608696,244.0255292,AA,36.06911447,236.7039521,DL,17.49460043,211.3646914,155
Table 6,20074,1680,18500,"Albuquerque, New Mexico, USA","Chicago, Illinois, USA",1121,404.1304348,195.5756186,AA,35.82571275,189.3695195,WN,33.80849919,187.121257,156
Table 6,20074,1680,19270,"Albuquerque, New Mexico, USA","Cincinnati, Ohio, USA",1240,46.08695652,282.3671698,DL,78.77358491,294.5884731,UA,7.783018868,194.3039394,157
Table 6,20074,1680,19770,"Albuquerque, New Mexico, USA","Cleveland, Ohio, USA",1411,71.19565217,216.5624275,CO,37.70992366,218.6953441,WN,24.73282443,205.1879012,158
Table 6,20074,1680,20410,"Albuquerque, New Mexico, USA","Colorado Springs, Colorado, USA",280,19.67391304,231.0817127,UA,97.79005525,225.7290396,UA,97.79005525,225.7290396,159
